,type,native,status,veg_max,veg_mean,fruit_max,fruit_mean,protein_max,protein_min,carbon_max,carbon_min
0,嘉定区,否,工薪族,5.00,2.50,7.00,3.50,3.00,1.50,15.00,7.50
1,奉贤区,否,工薪族,0.00,0.00,14.00,14.00,0.00,0.00,0.00,0.00
2,宝山区,否,学生,1.00,0.33,16.00,7.00,1.00,0.33,1.00,0.33
3,宝山区,否,工薪族,16.00,4.00,11.00,5.80,6.00,1.80,5.00,1.60
4,宝山区,是,学生,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,宝山区,是,工薪族,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00
6,徐汇区,否,学生,4.00,1.00,16.00,8.50,8.00,2.25,3.00,0.75
7,徐汇区,否,工薪族,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,徐汇区,是,学生,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00
9,徐汇区,是,工薪族,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00
10,普陀区,否,一线工作者（如大白、志愿者、骑手等）,1.00,0.50,20.00,20.00,1.00,0.50,1.00,0.50
11,普陀区,否,其他,5.00,2.50,20.00,20.00,8.00,4.00,15.00,7.50
12,普陀区,否,学生,9.00,9.00,9.00,9.00,9.00,9.00,8.00,8.00
13,普陀区,否,工薪族,16.00,3.88,20.00,11.38,19.00,4.25,8.00,3.00
14,杨浦区,否,一线工作者（如大白、志愿者、骑手等）,0.00,0.00,7.00,3.50,0.00,0.00,0.00,0.00
15,杨浦区,否,学生,8.00,1.00,14.00,4.00,10.00,1.54,11.00,1.00
16,杨浦区,否,工薪族,6.00,1.17,7.00,2.83,3.00,1.17,2.00,0.50
17,杨浦区,是,其他,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,杨浦区,是,工薪族,1.00,0.60,4.00,1.20,1.00,0.40,1.00,0.40
19,松江区,否,一线工作者（如大白、志愿者、骑手等）,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,松江区,否,其他,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,松江区,否,学生,0.00,0.00,3.00,1.50,0.00,0.00,0.00,0.00
22,浦东新区,否,其他,4.00,2.00,20.00,19.33,7.00,3.00,20.00,8.67
23,浦东新区,否,学生,7.00,7.00,18.00,18.00,3.00,3.00,1.00,1.00
24,浦东新区,否,工薪族,4.00,0.90,20.00,4.30,15.00,2.50,13.00,1.80
25,浦东新区,是,学生,0.00,0.00,15.00,7.50,0.00,0.00,0.00,0.00
26,浦东新区,是,工薪族,10.00,3.00,10.00,5.50,10.00,2.75,15.00,4.00
27,虹口区,否,学生,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,虹口区,否,工薪族,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,虹口区,是,工薪族,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,长宁区,否,工薪族,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,闵行区,否,学生,18.00,4.50,10.00,5.25,20.00,5.75,9.00,3.00
32,闵行区,否,工薪族,2.00,1.00,4.00,2.00,3.00,1.50,1.00,0.50
33,静安区,否,一线工作者（如大白、志愿者、骑手等）,1.00,0.50,7.00,3.50,4.00,2.00,3.00,1.50
34,静安区,否,学生,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00
35,静安区,否,工薪族,6.00,2.33,8.00,2.67,4.00,2.00,6.00,2.00
